
"22-04-2018 16:14:29",test,"Logon niet gekend"
"22-04-2018 16:15:44",test,"Logon niet gekend"
"22-04-2018 16:16:04",test,"Logon niet gekend"
"22-04-2018 16:16:08",test,"Logon niet gekend"
"22-04-2018 16:17:51",test,"Logon niet gekend"
"22-04-2018 16:19:07",test,"Logon niet gekend"
"22-04-2018 16:19:33",test,"Logon niet gekend"
"22-04-2018 16:19:44",test,"Logon niet gekend"
"22-04-2018 16:20:32",test,"Logon niet gekend"
"22-04-2018 16:21:10",test,"Logon niet gekend"
"22-04-2018 16:21:17",admin,Ingelogd
"22-04-2018 16:28:41",admin,Ingelogd
"23-04-2018 12:09:54",admin,Ingelogd
"23-04-2018 12:11:06",admin,Ingelogd
"23-04-2018 12:11:18",admin,Ingelogd
"23-04-2018 12:14:08",admin,Ingelogd
"23-04-2018 12:16:06",admin,Ingelogd
"23-04-2018 12:16:49",admin,Ingelogd
"23-04-2018 12:17:49",admin,Ingelogd
"23-04-2018 12:18:11",admin,Ingelogd
"23-04-2018 12:18:26",admin,Ingelogd
"23-04-2018 12:18:42",admin,Ingelogd
"23-04-2018 12:18:57",admin,Ingelogd
"23-04-2018 12:19:19",admin,Ingelogd
"23-04-2018 12:20:44",admin,"Foutief paswoord.(nog 2 pogingen)"
"23-04-2018 12:21:10",admin,Ingelogd
"24-04-2018 09:50:03",adminb,"Logon niet gekend"
"24-04-2018 09:50:11",admin,Ingelogd
"24-04-2018 09:50:49",admin,Ingelogd
"24-04-2018 09:52:36",admin,Ingelogd
"29-04-2018 19:48:24",admin,Ingelogd
"29-04-2018 19:51:48",admin,Ingelogd
"14-05-2018 19:57:09",admin,Ingelogd
"17-05-2018 16:11:41","onbekende User","Onbekende reset-key of reset niet meer geldig"
"17-05-2018 16:12:39","onbekende User","Onbekende reset-key of reset niet meer geldig"
"17-05-2018 16:17:49","onbekende User","Onbekende reset-key of reset niet meer geldig"
"17-05-2018 16:17:50","onbekende User","Onbekende reset-key of reset niet meer geldig"
"17-05-2018 16:17:56","onbekende User","Onbekende reset-key of reset niet meer geldig"
"17-05-2018 16:23:10","onbekende User","Onbekende reset-key of reset niet meer geldig"
"17-05-2018 16:23:15","onbekende User","Onbekende reset-key of reset niet meer geldig"
"17-05-2018 16:27:29","onbekende User","Onbekende reset-key of reset niet meer geldig"
"17-05-2018 16:27:49",admin,"Logon niet gekend"
"17-05-2018 16:28:07",admin@oefening.be,"Foutief paswoord.(nog 2 pogingen)"
"17-05-2018 16:29:17",admin@oefening.be,"Foutief paswoord.(nog 1 pogingen)"
"21-05-2018 11:25:36",admin@oefening.be,Ingelogd
"21-05-2018 11:25:50",admin@oefening.be,"Foutief paswoord.(nog 2 pogingen)"
"21-05-2018 11:25:59",admin@oefening.be,Ingelogd
"22-05-2018 09:23:27",admin@oefening.be,Ingelogd
"24-05-2018 09:36:34",admin@oefening.be,Ingelogd
"28-05-2018 18:41:17",admin@oefening.be,Ingelogd
"11-05-2020 12:01:45",micky@test.be,"Foutief paswoord.(nog 2 pogingen)"
"11-05-2020 12:02:10",micky@test.be,"Persistent ingelogd"
"11-05-2020 12:17:29",micky@test.be,"Persistent aangelogd"
"11-05-2020 13:37:10",micky@test.be,"Persistent aangelogd"
"11-05-2020 14:10:50",micky@test.be,"Persistent aangelogd"
"11-05-2020 14:22:23",micky@test.be,"Persistent ingelogd"
"11-05-2020 14:25:26",micky@test.be,"Persistent aangelogd"
"11-05-2020 14:25:34",micky@test.be,"Persistent aangelogd"
"11-05-2020 14:25:51",micky@test.be,"Persistent aangelogd"
"11-05-2020 14:30:24",micky@test.be," Uitgelogd"
"11-05-2020 14:30:45",micky@test.be,"Persistent ingelogd"
"11-05-2020 14:30:48",micky@test.be," Uitgelogd"
"11-05-2020 14:30:49",micky@test.be,"Persistent aangelogd"
"11-05-2020 14:30:53",micky@test.be," Uitgelogd"
"11-05-2020 14:30:56",micky@test.be,"Persistent aangelogd"
"11-05-2020 14:31:00",micky@test.be," Persistent uitgelogd"
"11-05-2020 14:31:11",micky@test.be,"Persistent ingelogd"
"11-05-2020 15:04:58",micky@test.be,"Persistent aangelogd"
"11-05-2020 15:36:42",micky@test.be,"Persistent ingelogd"
"11-05-2020 15:37:08",micky@test.be," Uitgelogd"
"11-05-2020 15:37:10",micky@test.be,"Persistent aangelogd"
"11-05-2020 15:56:08",micky@test.be,"Persistent ingelogd"
"11-05-2020 16:12:15",micky@test.be,"Persistent aangelogd"
"11-05-2020 16:38:39",micky@test.be,"Persistent aangelogd"
